Power Ranking,Celebrity Name,Pay,Power Ranking,Celebrity Name,Pay
1,Tom Cruise,67,14,Paul McCartney,40
2,Rolling Stones,90,15,George Lucas,233
3,Oprah Winfrey,225,16,Elton John,34
4,U2,110,17,David Letterman,40
5,Tiger Woods,90,18,Phil Mickelson,47
6,Steven Spielberg,332,19,J.K. Rowling,75
7,Howard Stern,302,20,Bradd Pit,25
8,50 Cent,41,21,Peter Jackson,39
9,Cast of the Sopranos,52,22,Dr. Phil McGraw,45
10,Dan Brown,88,23,Jay Lenon,32
11,Bruce Springsteen,55,24,Celine Dion,40
12,Donald Trump,44,25,Kobe Bryant,31
13,Muhammad Ali,55,,,